COMMON 		 BOTANICAL 		 DESCRIPT 		 ID 		 GROWTH"""" 		 
Sargent's Cypress 		 Cupressus sargentii 		 CA Cuesta Ridge native grows semi-quickly to 10', slowly to about 60' tall. Grayish, flat leaves. Often conical. Sun; good drainage; likes serpentine soil. Zones 6b-10. 		 CupSarg 		 to 60' h; slow grower" 		 

Coral Carpet Stonecrop 		 Sedum album 'Coral Carpet' 		 Low grower to 4" high x 12" wide. Pale pink blooms in summer. Small green leaves develop reddish color in winter. Sun; well-drained soil. Good groundcover in rock garden. 		 SedAlbCC 		 to 4" h x 12" w"""" 		 

Redtwig Dogwood 		 Cornus sericea (stolonifera) 		 SLO County collected native. Brilliant red twigs. Cut back hard late winter. White flowers & berries. Grows 7-9' h x 12' w. Sun-light shade; regular water. Zone 3-9. 		 CornusStol 		 7-9' h x 12' w"""" 		 

Seep Monkey Flower 		 Mimulus guttatus 		 CA native to moist areas. Mid-green roundish leaves and bright gold flowers. Hummingbirds love it; deer resistant. Long bloom season. Part shade; regular water. 3' tall. 		 MimGutt 		 3' h x w"""" 		 

California Melic 		 Melica californica 		 California native grass grows to about 3' tall. Very bright green slender leaves; whitish cast to flowers. Grows in sun to shade; moist areas; under oaks; near rocks. 		 MeliCal 		 to 3' h in bloom"""" 		 

Richard Gray Lavender 		 Lavandula angustifolia x lanata 'Richard Gray' 		 Evergreen lavender has soft gray leaves and pleasant fragrance. Blue-violet blooms stand above foliage in early summer. Full sun; low water. 2' high x 20" wide. Zones 7-9 		 LavRichGray 		 to 2' h x 20" w"""" 		 

Angelina Creeping Stonecrop 		 Sedum rupestre 'Angelina' 		 PPAF Propagation Prohibited. Beautiful green-gold color on creeping plant 3-6" high by 12" wide. Sun, low water. Zones 3-11. Small yellow flowers. 		 SedRupAng 		 3-6" h x 12" w"""" 		 

Pacific Gold Breath of Heaven 		 Coleonema pulchrum 'Pacific Gold' 		 Grows to 1 1/2' tall x 4' wide with golden foliage. Delicate appearance, but takes sun to light shade. Good on banks or as groundcover. Regular water. Prune after bloom. 		 ColeoPacGol 		 18" h x 4' w"""" 		 

Buckeye 		 Aesculus californica 		 CA native prefers moist areas. Sun to part shade. Grows 12-30' tall. Deciduous; can lose leaves in midsummer to save water. White to pale pink flowers. Poisonous seeds. 		 AesCalif 		 12-30' tall"""" 		 

Radiant Manzanita 		 Arctostaphylos uva-ursi 'Radiant' 		 CA native groundcover under 1' high roots as it spreads 4-6'. Slow to establish. Full sun to light shade; little to moderate water. Lots of flowers & fruits. Zones 5-10. 		 ArctRadiant 		 under 1' h x 4-6' w""" 		 

Creeping Wild Rye 		 Leymus (Elymus) triticoides 		 CA native grows to 2' tall. Rhizomatous roots are mat forming; great for erosion control. Plant along creeks & seasonal wet areas. Seeds often sterile. Sun to part shade. 		 LeymTriti 		 to 2' h; spreading"""" 		 

Blue Wild Rye 		 Leymus (Elymus) glaucus 		 CA native can reach 5' tall. Grows best in openings between part shade & full sun. Very smooth large stem. Seeds in summer; plant turns brown after seeding. 		 LeymGlauc 		 to 5' h w/bloom"""" 		 

Snow Angel Coral Bells 		 Heuchera 'Snow Angel' 		 Very showy, low-growing to 12" tall. Best in part shade, moderate water. Somewhat more fussy than other Heuchera. Green & white splotched leaves; pink flowers. Zones 4-9. 		 HeucSnoAng 		 to 12" h; bloom to 24" 		 

Midnight Claret Coral Bells 		 Heuchera 'Midnight Claret' 		 Very dark purple leaves splotched with pinkish-gray. Grows to 12" in part shade; moderate water. Flowers are creamy. Zones 4-9. Great accent plant. 		 HeucMidClar 		 to 12" h; bloom to 24" 		 

Pewter Moon Coral Bells 		 Heuchera 'Pewter Moon' 		 Taller growing type can reach 24-30". Silver-gray leaves with pewter veins & maroon under-leaf. Ice pink flowers in late spring. Part shade; moderate water. Zones 4-9. 		 HeucPewMn 		 24-30" high"""" 		 

Medicinal Aloe 		 Aloe vera 		 Sometimes referred to as "the burn plant" because sap from the leaves eases the pain of burns. Clump-forming perennial prefers part sun. Hardy to 50F. Moderate water. 		 AloeVera 		 yellow bloom to 3'"""" 		 

Clustered Field Sedge 		 Carex praegracilis 		 CA native grass prefers sun & moist to wet soil. Beautiful green color with brownish flowers & seeds. Grows 6-8" tall from rhizomes. Good for livestock. Zones 6-10. 		 CarexPraeg 		 6-8" h; spreading"""" 		 

Lemon Balm 		 Melissa officinalis 		 Lemon-scented perennial grows to about 2' tall & wide. Prefers part shade & regular water in the ground or very large pot. Culinary & medicinal uses. Zones 4-9. 		 MelissOff 		 to 2' h x w"""" 		 

Sinaloa Sage 		 Salvia sinaloensis 		 Grows 8-12" tall with burgundy-tinted leaves and dark blue flowers. Full sun at coast; part shade inland; low water. Zones 8-12. Makes a good border plant. 		 SalvSinalo 		 8-12" h x w"""" 		 

Spring Showers Currant 		 Ribes sanguineum glutinosum 'Spring Showers' 		 CA Native currant has showy pink flower tassels in late winter-early spring. Grows 8-10' tall in sun to part shade. Needs good drainage. Prune to maintain compact shape. 		 RibesSprSh 		 8-10' h; pink bloom""" 		 

Red Fescue 		 Festuca rubra 		 Grows 4-20" tall. Needs regular water in hot dry areas, but little water elsewhere. Rich green color; can be mowed. Hardy to -30F. Will spread to cover larger area. 		 FestucaRub 		 4-20" tall"""" 		 

Orange Balsam Thyme 		 Thymus vulgaris 'Orange Balsam' 		 Tiny gray-green leaves on this culinary thyme. Grows to a maximum of 1' tall. Light pink flowers. Grows in full sun; little water. Thyme flavored with orange. 		 ThymVulgOB 		 to 12" h x w"""" 		 

Fremont / Western Cottonwood 		 Populus fremontii 		 California native grows to 40-60' x 30' wide. Glossy green leaves turn yellow in fall. Full sun; regular water. Hardy in most zones. 		 PopFremon 		 40-60' h x 30' w; fast 		 

Greek Columnar Basil 		 Ocimum basilicum 'Lesbos' 		 Tender perennial is hardy to 50F. Grows to 3' tall, but only 10-12" wide. Rarely flowers. Prefers full sun, rich soil, & regular water. Spicy fragrance & good flavor. 		 OciLesbos 		 2-3' h x 9-12" w"""" 		 

White Rosemary 		 Rosmarinus officinalis 'Albiflorus' 		 Mostly upright grower can sprawl somewhat. Can reach 4 feet or higher. Average flavor. Flowers are white with pale lavender veins. Sun; moderate water. Zone 7 hardy. 		 RosmAlbi 		 upright to 4'"""" 		 

Western Golden Currant 		 Ribes aureum var. aureum 		 Native to inland areas throughout West. Grows 3-6' tall. Spicy scented yellow flowers in spring. Sun to part shade; regular to moderate water. Summer berries. 		 RibesAurAur 		 3-6' h x w"""" 		 

Coconut Thyme 		 Thymus pulegioides 'Coconut' 		 Excellent groundcover thyme w/ dark green leaves & bright pink flowers. Smells like coconut if you use your imagination. Full sun; low to moderate water; 4" high. Zone 5. 		 ThymPulCoc 		 2-4" h x 8-12" w"""" 		 

Dazzler Blanket Flower 		 Gaillardia x grandiflora 'Dazzler' 		 Perennial 1-2' tall with single maroon flowers bordered in gold. Long bloom period. Full sun; moderate water. Thrives in heat; needs good drainage. Good cut flowers. 		 GailDazzler 		 1-2' h x w"""" 		 

Variegated Japanese Sedge 		 Carex morrowii 'Variegata' 		 Low-growing clumping sedge with gray-green and white leaves. Prefers part shade in moist, rich soil. Grows to 1' high x 1.5-2' wide. Zones 5-9. 		 CarexMorV 		 to 1' h x 1-2' w"""" 		 

Twin Peaks #2 Coyote Brush 		 Baccharis pilularis 'Twin Peaks #2' 		 Groundcover plant is lower growing when young but can mound to 3-5' over time. Best along the coast in full sun; little water. Selection from 'Twin Peaks'. 7-10. 		 BaccPilTP2 		 slowly mounds to 3'+"" 		 

Coral Reef Stonecrop 		 Sedum tetractinum 'Coral Reef' 		 Low grower to about 6" high. Spreads slowly. Needs full sun, little water, and well drained soil. Bright yellow flowers in mid - late summer. Drought tolerant. Zones 5-9. 		 SedTetCorRf 		 up to 6" h; spreads""" 		 

Elk Blue Rush 		 Juncus patens 'Elk Blue' 		 Solid clumps of blue-green stiff leaves. Grows to 18" tall & wide. Brown flowers in mid-summer. Sun to part shade; can grow in dry soil to a few inches of water at base. 		 JuncElkBlue 		 18" h x w"""" 		 

Firewitch Dianthus 		 Dianthus gratianopolitanus 'Firewitch' 		 Small mounds of intense blue-silver leaves topped by bright magenta flowers. 4-8" tall x 18-24" wide. Full sun; tolerates afternoon shade. Moderate water. Zones 3-8. 		 DianthFireW 		 4-8" h x 18-24" w"""" 		 

Alum Root 		 Heuchera micrantha 		 California native grows to 1' tall x 2-3' wide. White flowers on reddish stems. Green leaves. Needs shade, well-drained soil, and moderate water. Hardy to 0 degrees. 		 HeucMicran 		 1' h x 2-3' w"""" 		 

Nuevo Leon Sage 		 Salvia greggii 'Nuevo Leon' 		 Bright green leaves topped by stunning royal purple-blue flowers. Grows to 2' tall & wide. Sun; well-drained soil; average water. Tolerates afternoon shade. Zones 7-9. 		 SalvGNuevL 		 2' h x w; purple-blue" 		 

Sage of Bath 		 Salvia officinalis 'Sage of Bath' 		 Culinary sage grows to 1 1/2' high & wide with silver leaves and pink flowers in summer. Full sun; moderate water. Zones 5-9. Very similar to Garden Sage. 		 SalvOffSofB 		 18" h x w"""" 		 

Blue Willow Sage 		 Salvia reptans 'Blue Willow' 		 Bright green willow-like leaves on purple stems. Sky-blue flowers over long bloom season. Grows to 3' tall x 2' wide. Full sun; moderate to low water; Zones 6-10. 		 SalvRepBluW 		 3' h x 2' w"""" 		 

Pacific Mist Manzanita 		 Arctostaphylos 'Pacific Mist' 		 Sprawling plant grows to 2' high x 6-10' wide. Narrow leaves on pinkish stems. Fast grower does best at coast. Sun-dry shade; well-drained soil; low water. Hardy to 15F. 		 ArctPacMist 		 to 2' h x 6-10' w"""" 		 

Bicton Orange Treasure Flower 		 Gazania rigens 'Bicton Orange' 		 Striking plant with very silvery foliage and bright gold-orange flowers. Compact, attractive, and long bloom season. Sun; moderate water. Zones 8-10. Perennial. 		 GazBictOrn 		 to 6" h; spreading"""" 		 

Beach Salvia / Dune Salvia 		 Salvia africana lutea (S. aurea) 		 Fast grower to 5' tall. Gray green leaves with orange-brown flowers over long bloom period. Tolerates drought, wind, poor soil, & some frost. Full sun; moderate water. 		 SalvAfrLut 		 to 5' h; fast grower"" 		 

Canyon Delight Coral Bells 		 Heuchera 'Canyon Delight' 		 Cross between a California and Arizona Heuchera. Green leaves form 1' mound. Rosy pink flowers. Prefers light shade with moderate water. Sun okay at coast. 		 HeucCynDl 		 to 12" h; bloom to 24" 		 

Island Pink Yarrow 		 Achillea millefolium rosea 'Island Pink' 		 Pink variant of wild yarrow found on Santa Cruz Island, CA. Grows in sun to part shade with little to moderate water. Height varies depending on conditions: 1-4'. 		 AchMilIslP 		 1-4' h; pink"""" 		 

Dawn to Dusk Catmint 		 Nepeta grandiflora 'Dawn to Dusk' 		 Fast grower to 2-3' high & wide. Gray-green leaves w/ pink flowers. Grows in sun; needs pm shade in hottest areas. Moderate water; well-drained soil. Hardy in Zones 5-8. 		 NepDawnD 		 2-3' h x w"""" 		 

Chaste Tree 		 Vitex agnus-castus 		 Deciduous shrub grows from 6-25' tall. Small lilac flowers in summer followed by red-black fruit used medicinally. Sun; well-drained soil; moderate water. Zones 7-10. 		 VitexAgCast 		 shrub 6 to 25' h"""" 		 

Parry's Agave 		 Agave parryi 		 Native to Mexico & Southwest. Gray-green leaves have very sharp spike at tip. Grows in 2-3' wide rosettes. Full sun; little water. Frequently "pups." Hardy perennial. 		 AgaveParry 		 18-24" h x 2-3' w"""" 		 

Royal Cheer Kangaroo Paw 		 Anigozanthos 'Royal Cheer' 		 Red base & emerald flowers to 3' tall; very long-lasting. Great cut flower. Prefers sun; moderate water; drought tolerant. Hardy in zones 8-11. Can tolerate light shade. 		 AnigRoyalCh 		 red/green to 3' h"""" 		 

Bush Devil Kangaroo Paw 		 Anigozanthos 'Bush Devil' 		 Bright red fuzzy flowers stand over green leaves. Flowers can reach 3-4' tall. Great cut flowers are long-lasting. Full sun; moderate water. Zones 8-12. Nice accent plant 		 AnigBDevil 		 red to 3-4' h"""" 		 

Bush Gold Kangaroo Paw 		 Anigozanthos 'Bush Gold' 		 Midsized plant grows 2-3' tall topped by bright yellow flowers. Plant in full sun; well-drained soil; regular water. Great cut flower. Zones 8-12. Tolerates heavier soils 		 AnigBGold 		 gold to 2-3' h"""" 		 

Blue Oat Grass 		 Helictotrichon sempervirens 		 Mediterranean perennial grass has blue-gray leaves. Grows to 2-3' tall & wide. Flowers are straw-colored. Full sun; regular water; well-drained soil. Hardy in all zones. 		 HelictoSemp 		 2-3' h x w"""" 		 

Hobbit Toes Sage 		 Salvia sonomensis 'Hobbit Toes' 		 Very soft, hairy gray leaves on low-growing plant to 1' high x 3' wide. Sun to part shade in well-drained soil; prefers little water & good air circulation. Blue flowers. 		 SalvSonomHb 		 1' h x 3' w"""" 		 

Ghost Plant 		 Graptopetalum paraguayense 		 Native to Mexico. Pearly gray-pink leaves. Grows in full sun to light shade in well-drained soil. Grows 6-12" high & wide. Moderate water. Zones 9-11. White flowers. 		 GraptopPara 		 6-12" h x w"""" 		 

Coastal Hairgrass 		 Deschampsia caespitosa holciformis 		 Central Coast native grows to 2' tall with flowers by 3' wide. Prefers sun to part shade with some water in summer. Deer resistant. Nice native addition to garden. 		 DeschCaesp 		 to 2' h x 3' w"""" 		 

Bush Nugget Kangaroo Paw 		 Anigozanthos 'Bush Nugget' 		 Australian native grows to 2 feet tall. Red stem and gold flowers. Prefers full sun to part shade; moderate water. Drought tolerant. Zones 8-11. Great cut flower. 		 AnigBNugg 		 red/gold to 2' h"""" 		 

Bush Sunset Kangaroo Paw 		 Anigozanthos 'Bush Sunset' 		 Australian native grows 2-3' tall w/5-6' flower spikes. Flowers are dark red with red hairs on stems. Full sun; moderate water. Zones 8-12. Great cut flowers. 		 AnigBSuns 		 dark red to 5-6' h"""" 		 

Big Red Kangaroo Paw 		 Anigozanthos 'Big Red' 		 Australian native has 3' foliage & 5' flower spikes. Deep red flowers spring through fall make great cut flowers. Full sun; moderate water; Zones 9-11. 		 AnigBigRed 		 red to 5' h"""" 		 

Bush Tango Kangaroo Paw 		 Anigozanthos 'Bush Tango' 		 Australian native grows to 2-3' with orange flowers from spring to fall. Prefers full sun; moderate to regular water; Zones 8-11. Good cut flower. 		 AnigBTango 		 orange to 2-3' h"""" 		 

Kalinda Hen & Chicks 		 Sempervivum 'Kalinda' 		 Nice rosette is gray with dusky rose tips in summer; red in winter. Grows 6-10" high. Pink flowers in late summer. Full sun; little water. Zones 5-9. 		 SempKalind 		 4-6" h; spreading"""" 		 

Alkali Sacaton 		 Sporobolus airoides 		 Native grass grows in alkaline soil. Good as groundcover, erosion control, & for revegetation. Grows 12-20" tall with bloom to 3'. Sun; regular water, esp. in summer. 		 SporoAir 		 12-20" h; 3' bloom"""" 		 

Pinwheel Aeonium 		 Aeonium haworthii 'Pinwheel' 		 Full sun; low water. Tolerates part shade. Frost tender. Zones 9b-11. 		 AeonPin 		 to 2' high"""" 		 

Sand Dune Sedge 		 Carex pansa 		 CA native small, creeping dune grass grows to 6" tall. Spreads by rhizomes. Grows in sun to part shade; summer dormant in drought. Spring flowers are not showy. 		 CarexPansa 		 to 6" h; spreading"""" 		 

Pacific Ninebark 		 Physocarpus capitatus 		 Western native named for many layers of peeling bark. Deciduous shrub grows 6-12' tall w/light green leaves; white flowers in spring. Average to low water; most light. 		 PhysoCap 		 6-12' tall; deciduous" 		 

Tiny Mice Cuphea 		 Cuphea rosea 'Tiny Mice' 		 Patented; Propagation Prohibited. Cute red & purple bloom on 10-14" plants. Sun to part sun. Average water. Zones 9-11. 		 CuphTinyM 		 10-14" h x 8-10" w"""" 		 

Ruby Heart Hen & Chicks 		 Sempervivum 'Ruby Heart' 		 Succulent grows to 8" high x 8" wide. Leaves start red then mature to green and red. Sun to part shade; little to moderate water. Zone 4 hardy. Attractive plant. 		 SempRubHrt 		 to 8" h x w"""" 		 

Royal Purple Lavender 		 Lavandula angustifolia 'Royal Purple' 		 Originally from Norfolk Lavender, UK, in 1940s. Popular in New Zealand. Grows to 3' high & wide in full sun with little to moderate water. Needs regular pruning. Zone 5. 		 LavRoyPur 		 to 3' h x w"""" 		 

Evergold Sedge 		 Carex hachijoensis 'Evergold' 		 Beautiful variegated sedge grows to 1' high & wide in light shade to part shade. Prefers well-drained soil with average to light water. Forms a nice mound. Zones 5-9. 		 CarexEverG 		 to 12" h x w"""" 		 

Coyote Brush / Chaparral Broom 		 Baccharis pilularis 		 Evergreen native shrub grows in coastal sage scrub and chaparral. To 10' high & wide. Full sun; little water. Drought tolerant & deer resistant. Good for hedges. Zone 8. 		 BaccPil 		 to 10' h x w"""" 		 
